State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
OH,CUYAHOGA,28595,43603,62823,69919,60616,62823,74.0,86.4,91.2,3642.0,2392,2774,309970.0,1412140,1280122,1233088,304.0,757,955,1012,0.98,0.54,0.75,0.82,-0.979711376113891,-1.18465501187484,-1.5143776019580100,-2.8452380952380900,-1.9058823529411800,-2.3755602240896400,-1.9479427002124800
OH,DARKE,27640,44280,64654,67584,61558,64654,73.5,85.6,90.7,97.0,64,74,42961.0,53619,52959,51415,130.0,91,93,89,3.03,1.7,1.76,1.73,-0.292484833983413,-0.471375138628974,-0.5280347343079950,-0.404761904761905,-0.5411764705882360,-0.47296918767507000,-0.5144161659118000
OH,DEFIANCE,31505,44480,73615,77035,61836,73615,76.8,87.8,92.3,69.0,50,62,25769.0,39350,39037,38315,66.0,67,74,79,2.57,1.7,1.9,2.06,-0.292484833983413,-0.368704947562875,-0.4870107250521000,-0.9523809523809520,-0.5411764705882360,-0.7467787114845940,-0.7207207317447590
OH,DELAWARE,37896,87908,130088,92662,122209,130088,84.4,95.6,97.1,166.0,368,516,27189.0,66929,174214,231636,95.0,70,126,140,3.49,1.05,0.72,0.6,-0.979711376113891,-1.11486487889637,-1.1053822488870600,0.14285714285714300,-1.3058823529411800,-0.5815126050420170,-0.596199305820006
OH,ERIE,30470,46593,68431,74504,64773,68431,76.2,88.9,92.4,202.0,134,147,35462.0,76779,77079,74035,69.0,76,103,100,1.95,0.99,1.34,1.35,-0.979711376113891,-0.823198052883171,-1.021858603671580,-1.69047619047619,-1.3764705882352900,-1.5334733893557400,-1.3134638244730100
OH,FAIRFIELD,31284,56796,87069,76494,78957,87069,78.8,91.6,94.0,255.0,182,276,33939.0,103461,146156,165360,116.0,121,163,173,3.42,1.17,1.12,1.05,-0.979711376113891,-0.895499802875395,-0.8948020946448540,0.05952380952380930,-1.1647058823529400,-0.552591036414566,-0.5744080562831740
OH,FAYETTE,22704,39599,60047,55515,55050,60047,65.3,82.2,85.8,55.0,35,46,22309.0,27466,29030,28817,61.0,35,55,52,2.73,1.27,1.89,1.8,-0.531154345333114,-0.529079975162132,-0.6211843291584530,-0.7619047619047620,-1.0470588235294100,-0.9044817927170870,-0.8395437195339720
OH,FRANKLIN,30375,49087,73795,74272,68240,73795,81.0,88.9,91.2,2894.0,2121,2977,124087.0,961437,1163414,1326063,174.0,598,910,993,1.4,0.62,0.78,0.75,-0.979711376113891,-1.17274777741175,-1.4459055267814300,-2.3452380952380900,-1.8117647058823500,-2.078501400560220,-1.7241207134443500
OH,FULTON,31890,50717,72866,77976,70506,72866,78.3,88.3,94.8,102.0,66,64,22023.0,38498,42698,42007,86.0,65,79,74,3.92,1.69,1.85,1.76,-0.292484833983413,-0.445816096861515,-0.3790346517745910,0.6547619047619040,-0.5529411764705880,0.050910364145658000,-0.11969379839354700
OH,GALLIA,20972,37409,56455,51280,52006,56455,64.2,80.8,86.9,64.0,33,31,27005.0,30954,30934,28986,128.0,53,66,65,4.74,1.71,2.13,2.24,-0.292484833983413,-0.273238420146405,-0.0903285419119671,1.6309523809523800,-0.5294117647058830,0.550770308123249,0.25693075171276000
